Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1646244333.9320867,6505,1646244333,931311114,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08169335126876831,0.032521240413188934,-0.5605541467666626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07179487496614456,0.03589743748307228,9.609743118286133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.9342973,6506,1646244333,933638629,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912807285785675,0.01441174652427435,-0.5403140187263489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13641025125980377,-0.2064102590084076,10.001025199890137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.9363663,6507,1646244333,935866012,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09660704433917999,0.029325447976589203,-0.5530971884727478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15076923370361328,0.3392307758331299,10.117691993713379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.9385657,6508,1646244333,938141577,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09980283677577972,0.03465176746249199,-0.5829246640205383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5133333206176758,0.014358974993228912,9.846667289733887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.9407043,6509,1646244333,940408374,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10512915998697281,0.031455978751182556,-0.5658804774284363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5097435712814331,-0.08974359184503555,10.115897178649902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.9429886,6510,1646244333,942647127,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09660704433917999,0.01973806880414486,-0.52753084897995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1794871836900711,0.5600000023841858,10.284615516662598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.945208,6511,1646244333,944866794,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10832495242357254,-0.010089334100484848,-0.4934424161911011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1328205168247223,0.003589743748307228,9.995640754699707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.947597,6512,1646244333,947155706,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133891299366951,-0.005828278139233589,-0.5328571796417236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08974359184503555,0.39666667580604553,10.166154861450195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.9500442,6513,1646244333,949448764,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11897759884595871,-0.025003038346767426,-0.4657455384731293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2889743745326996,0.09512820839881897,10.24871826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646244333.952268,6514,1646244333,951666740,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10512915998697281,-0.0026324838399887085,-0.4508318305015564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2620512843132019,0.8400000333786011,10.29358959197998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
