Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,name,position_0,position_1,position_2,position_3,position_4,position_5,position_6,position_7,position_8,position_9,position_10,position_11,velocity_0,velocity_1,velocity_2,velocity_3,velocity_4,velocity_5,velocity_6,velocity_7,velocity_8,velocity_9,velocity_10,velocity_11,effort_0,effort_1,effort_2,effort_3,effort_4,effort_5,effort_6,effort_7,effort_8,effort_9,effort_10,effort_11
170.73025,170591,170,712500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6197211869672032,-0.08562831929000758,0.6991624030930579,-1.557790546918715,-0.02385227638375298,0.7872424698234015,-1.521905698874165,-0.0010514242052135359,0.5038070304064197,-1.6062041308752741,0.116822286815629,0.6480893379224852,0.6355783950550722,0.027584910322133643,-0.23840088302529577,0.6542138081019593,0.009976886464936878,-0.2871403822897107,1.0784937349759953,0.0027751441249560475,-0.3840979061027728,1.0818402556991487,-0.05465604005775376,-0.429466236437898,3.373530387878418,-0.33022499084472656,0.8402521014213562,3.1327624320983887,1.1041308641433716,0.2082211822271347,7.3954176902771,-2.4639813899993896,3.3605360984802246,7.12129545211792,1.4067860841751099,2.083311080932617
170.73025,170592,170,713500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6196525017249148,-0.08562537300391426,0.699188208258338,-1.5577189494989612,-0.02385190112608271,0.7872610701320424,-1.5219716848895297,-0.0010518867123820996,0.5038920529635211,-1.6062714129522986,0.11682456105616534,0.6481791770402969,0.6275599654338386,0.027196532425755555,-0.2384377342884765,0.648748225574425,0.00991594361143276,-0.2879403411168522,1.0859893464682533,0.0028217681903470807,-0.39101228201617955,1.0876111488541755,-0.05487828723290606,-0.43597794319139993,3.373530387878418,-0.33022499084472656,0.8402521014213562,3.1327624320983887,1.1041308641433716,0.2082211822271347,7.3954176902771,-2.4639813899993896,3.3605360984802246,7.12129545211792,1.4067860841751099,2.083311080932617
170.73025,170593,170,714500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6195880573817463,-0.08562263976440931,0.6992121494662236,-1.5576520946500332,-0.023851566679433667,0.7872784660554872,-1.5220334523475918,-0.001052308684684533,0.5039714981258729,-1.6063341431095912,0.11682669272670498,0.6482630447467548,0.6214026692322455,0.026895366203991425,-0.2393629711486396,0.643675640183079,0.00985936079977513,-0.28894665498633026,1.0918068086702228,0.0028599882134553167,-0.3972232689289966,1.092699799766091,-0.05506276609224581,-0.4421729577175605,3.373530387878418,-0.33022499084472656,0.8402521014213562,3.1327624320983887,1.1041308641433716,0.2082211822271347,7.3954176902771,-2.4639813899993896,3.3605360984802246,7.12129545211792,1.4067860841751099,2.083311080932617
170.73075,170594,170,715500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6195275774174562,-0.08562009938519477,0.6992340938344306,-1.5575899703185754,-0.02385126286135897,0.7872946498434752,-1.5220911490457096,-0.0010526874173812928,0.5040454279779869,-1.6063923118219678,0.11682868779247713,0.6483409350148746,0.6156315340671156,0.02660173780877083,-0.24051219686513856,0.6385532709397554,0.00977783369639627,-0.28996763318561913,1.0973944610166795,0.0028857136309032266,-0.4033762323772786,1.0978638111947738,-0.055262143766846926,-0.4484419545445687,3.367926597595215,-0.32826584577560425,0.8400132060050964,3.1299233436584473,1.1030550003051758,0.20860710740089417,7.400457382202148,-2.4662132263183594,3.359013557434082,7.124802112579346,1.4073690176010132,2.0808796882629395
170.73075,170595,170,716500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.619471563069823,-0.08561777959884864,0.6992542247722318,-1.5575327896303635,-0.023851000173587877,0.7873096775291231,-1.5221442558420764,-0.0010530247116982139,0.5041135708153455,-1.6064455941659892,0.11683052728677712,0.648412640157729,0.6101210909085157,0.026311470075846884,-0.24182467414020503,0.6334492336378414,0.009678340926788785,-0.29103745193410235,1.1027735178376035,0.002903769109145647,-0.4094806168292247,1.1029741300039797,-0.05546863690742586,-0.4547254851022036,3.367926597595215,-0.32826584577560425,0.8400132060050964,3.1299233436584473,1.1030550003051758,0.20860710740089417,7.400457382202148,-2.4662132263183594,3.359013557434082,7.124802112579346,1.4073690176010132,2.0808796882629395
170.73075,170596,170,717500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6194201297815884,-0.085615675841197,0.6992726002980376,-1.5574805016792763,-0.02385077931486279,0.7873235221390864,-1.522192769283424,-0.0010533161487789044,0.5041759281397011,-1.6064940576856541,0.1168322244217661,0.6484781924661132,0.6045584950817853,0.026036351922119574,-0.24312163948669163,0.628272883691545,0.00959121694389843,-0.29208041159327097,1.1081257589182545,0.0029369905231795166,-0.4155841659156043,1.1081741145669737,-0.055668905160615255,-0.46106197196060855,3.362475633621216,-0.3259577453136444,0.8410592079162598,3.127592086791992,1.1010531187057495,0.21054527163505554,7.405898571014404,-2.4688472747802734,3.3610737323760986,7.129844665527344,1.4088281393051147,2.0817530155181885
170.73075,170597,170,718500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6193736528304128,-0.08561381582153516,0.6992893795114874,-1.5574332633798265,-0.02385061013489409,0.7873362465858991,-1.522236390602182,-0.0010535692812787545,0.5042323532228732,-1.6065375059006124,0.11683376618960661,0.648537478469283,0.5990957406124932,0.025745956844689187,-0.24447963563338732,0.6231113421845642,0.009481907511603166,-0.29314374879909044,1.1133688269014141,0.0029531411200938427,-0.4216561732043209,1.1133005019628208,-0.05589489888171343,-0.46737763853350434,3.362475633621216,-0.3259577453136444,0.8410592079162598,3.127592086791992,1.1010531187057495,0.21054527163505554,7.405898571014404,-2.4688472747802734,3.3610737323760986,7.129844665527344,1.4088281393051147,2.0817530155181885
170.73075,170598,170,719500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6193319003984477,-0.08561219013268673,0.6993044667196822,-1.5573908948177375,-0.023850497248875335,0.787347770268922,-1.522275309475872,-0.0010537901032687813,0.5042829420431518,-1.6065761875112257,0.11683514972009235,0.6485906229674088,0.5939529416635505,0.025472579232459387,-0.2459749270967569,0.6181275878487567,0.009377387272943538,-0.29428737263220256,1.1183294316053676,0.0029725362380774115,-0.4275959657952706,1.1181676036502624,-0.05611279149283061,-0.47355454358706933,3.362475633621216,-0.3259577453136444,0.8410592079162598,3.127592086791992,1.1010531187057495,0.21054527163505554,7.405898571014404,-2.4688472747802734,3.3610737323760986,7.129844665527344,1.4088281393051147,2.0817530155181885
170.73075,170599,170,720500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6192948974591048,-0.08561079799852678,0.6993178903381319,-1.5573533667282438,-0.02385044116569013,0.7873580955326291,-1.5223095005835932,-0.0010539822858302017,0.5043276998051294,-1.6066101499055483,0.11683626472280384,0.6486376759086854,0.5889562828397983,0.025206672900630864,-0.2475190222442541,0.6132323313184644,0.00927889944396582,-0.29546164407785624,1.1231621127935416,0.0030012616327719944,-0.4334645100979585,1.1229308299405911,-0.05623296738625402,-0.4796670462370901,3.362475633621216,-0.3259577453136444,0.8410592079162598,3.127592086791992,1.1010531187057495,0.21054527163505554,7.405898571014404,-2.4688472747802734,3.3610737323760986,7.129844665527344,1.4088281393051147,2.0817530155181885
170.73075,170600,170,721500000,,"['FL_calf_joint', 'FL_hip_joint', 'FL_thigh_joint', 'FR_calf_joint', 'FR_hip_joint', 'FR_thigh_joint', 'RL_calf_joint', 'RL_hip_joint', 'RL_thigh_joint', 'RR_calf_joint', 'RR_hip_joint', 'RR_thigh_joint']",-1.6192627163333113,-0.08560963473847139,0.699329706555301,-1.5573207005030683,-0.02385042545012439,0.7873672486144736,-1.5223389067853814,-0.0010541213389760884,0.5043666218618448,-1.6066393511145174,0.11683714723207927,0.6486786355797705,0.5840287487693512,0.02493897260977595,-0.24907238873312187,0.6083911873081438,0.009173493971359439,-0.29664162041899367,1.1279297830661257,0.0030211059273255996,-0.4392836615230204,1.1276499000405444,-0.05624088760323381,-0.48574063144857943,3.362475633621216,-0.3259577453136444,0.8410592079162598,3.127592086791992,1.1010531187057495,0.21054527163505554,7.405898571014404,-2.4688472747802734,3.3610737323760986,7.129844665527344,1.4088281393051147,2.0817530155181885
