Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1646350743.8176749,6312,1646350743,816156351,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23633812367916107,-0.0147966668009758,-0.006982361897826195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044871795922517776,0.988974392414093,10.361794471740723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.8188348,6313,1646350743,818445080,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2523171007633209,-0.008405081927776337,0.0047355457209050655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2764102518558502,0.47564104199409485,10.24871826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.8209803,6314,1646350743,820645073,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2544476091861725,-0.011600873433053493,0.0036702812649309635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31051284074783325,0.15974359214305878,10.11230754852295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.8231833,6315,1646350743,822833730,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24272970855236053,-0.009470346383750439,-0.0037865692283958197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2925640940666199,0.7053846716880798,10.471282005310059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.8256962,6316,1646350743,825179483,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619044780731201,-0.02225351706147194,-0.0037865692283958197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048461541533470154,0.4235897660255432,9.620512962341309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.827947,6317,1646350743,827504675,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24592550098896027,0.00011703448399202898,0.02710609696805477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2117948830127716,0.8400000333786011,9.941795349121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.8301587,6318,1646350743,829784611,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2523171007633209,-0.004144023172557354,-0.0005907765007577837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0735897421836853,0.43974360823631287,9.74794864654541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.8323877,6319,1646350743,832004319,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22462020814418793,0.006508619990199804,0.02071451209485531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048461541533470154,0.7628205418586731,10.157179832458496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.834623,6320,1646350743,834218107,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2395339161157608,-0.026514576748013496,0.007931338623166084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18307693302631378,0.36974361538887024,9.728204727172852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646350743.8368132,6321,1646350743,836468681,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22462020814418793,0.010769677348434925,0.0058008101768791676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14538460969924927,0.865128219127655,9.990256309509277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
