Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8
1646351170.8165636,7158,1646351170,816231278,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008371543139219284,0.007573884446173906,-0.006982361897826195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10410256683826447,0.1238461583852768,9.728204727172852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8186097,7159,1646351170,818416186,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008672687225043774,-0.005209287628531456,-0.015504478476941586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1794871836900711,-0.4307692348957062,9.022820472717285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8207648,7160,1646351170,820564009,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019024187698960304,-0.013731402345001698,-0.016569742932915688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07179487496614456,0.07538461685180664,9.948974609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8230507,7161,1646351170,822782124,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006241013761609793,0.009704413823783398,0.00686607463285327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36974361538887024,-0.10948718339204788,9.432050704956055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8251588,7162,1646351170,824941678,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007306278217583895,0.019291793927550316,-0.0005907765007577837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14179487526416779,-0.030512820929288864,9.511025428771973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8272352,7163,1646351170,827072404,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00654215831309557,-0.004144023172557354,-0.01976553350687027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24051281809806824,0.3858974575996399,10.255897521972656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8294585,7164,1646351170,829197703,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030452206265181303,-0.007339817471802235,-0.006982361897826195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5456410050392151,-0.07897436618804932,9.808974266052246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8315618,7165,1646351170,831323345,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009436807595193386,0.003312827320769429,-0.011243419721722603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0825641080737114,0.20102564990520477,10.026153564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8337946,7166,1646351170,833528491,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012158364988863468,-0.004144023172557354,-0.005917098838835955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19205129146575928,-0.2387179583311081,9.080256462097168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1646351170.8359349,7167,1646351170,835715046,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009146920638158917,0.001182297826744616,0.007931338623166084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23692308366298676,0.15794873237609863,9.530769348144531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
